"destination.apirport","source.airport","Latitude.x","Longitude.x","Latitude.y","Longitude.y"
"ABE","MYR",33.6796989441,-78.9282989502,40.652099609375,-75.440803527832
"ABE","CLT",35.2140007019043,-80.9430999755859,40.652099609375,-75.440803527832
"ABE","DTW",42.2123985290527,-83.353401184082,40.652099609375,-75.440803527832
"ABE","PIE",27.91020012,-82.68740082,40.652099609375,-75.440803527832
"ABE","SFB",28.7775993347168,-81.2375030517578,40.652099609375,-75.440803527832
"ABE","PHL",39.871898651123,-75.241096496582,40.652099609375,-75.440803527832
"ABE","CLT",35.2140007019043,-80.9430999755859,40.652099609375,-75.440803527832
"ABE","ATL",33.6366996765137,-84.4281005859375,40.652099609375,-75.440803527832
"ABE","ORD",41.97859955,-87.90480042,40.652099609375,-75.440803527832
"ABE","PHL",39.871898651123,-75.241096496582,40.652099609375,-75.440803527832
"ABE","ATL",33.6366996765137,-84.4281005859375,40.652099609375,-75.440803527832
"ABE","PGD",26.92020035,-81.9905014,40.652099609375,-75.440803527832
"ABE","ATL",33.6366996765137,-84.4281005859375,40.652099609375,-75.440803527832
"ABI","DFW",32.896800994873,-97.0380020141602,32.4113006592,-99.6819000244
"ABI","DFW",32.896800994873,-97.0380020141602,32.4113006592,-99.6819000244
"ABL","OBU",66.9123001099,-156.897003174,67.106300354,-157.856994629
"ABL","OTZ",66.88469696,-162.598999,67.106300354,-157.856994629
"ABL","OBU",66.9123001099,-156.897003174,67.106300354,-157.856994629
"ABL","OTZ",66.88469696,-162.598999,67.106300354,-157.856994629
"ABQ","ATL",33.6366996765137,-84.4281005859375,35.0401992797852,-106.609001159668
"ABQ","BWI",39.17539978,-76.66829681,35.0401992797852,-106.609001159668
"ABQ","SEA",47.4490013122559,-122.30899810791,35.0401992797852,-106.609001159668
"ABQ","ATL",33.6366996765137,-84.4281005859375,35.0401992797852,-106.609001159668
"ABQ","BWI",39.17539978,-76.66829681,35.0401992797852,-106.609001159668
"ABQ","DFW",32.896800994873,-97.0380020141602,35.0401992797852,-106.609001159668
"ABQ","CNM",32.3375015258789,-104.263000488281,35.0401992797852,-106.609001159668
"ABQ","LAM",35.8797988892,-106.268997192,35.0401992797852,-106.609001159668
"ABQ","IAH",29.9843997955322,-95.3414001464844,35.0401992797852,-106.609001159668
"ABQ","MDW",41.7859992980957,-87.7524032592773,35.0401992797852,-106.609001159668
"ABQ","JFK",40.63980103,-73.77890015,35.0401992797852,-106.609001159668
"ABQ","PDX",45.58869934,-122.5979996,35.0401992797852,-106.609001159668
"ABQ","PHX",33.4342994689941,-112.012001037598,35.0401992797852,-106.609001159668
"ABQ","DAL",32.8470993041992,-96.8517990112305,35.0401992797852,-106.609001159668
"ABQ","SLC",40.7883987426758,-111.977996826172,35.0401992797852,-106.609001159668
"ABQ","MSP",44.8819999695,-93.2218017578,35.0401992797852,-106.609001159668
"ABQ","ATL",33.6366996765137,-84.4281005859375,35.0401992797852,-106.609001159668
"ABQ","PHX",33.4342994689941,-112.012001037598,35.0401992797852,-106.609001159668
"ABQ","SAN",32.7336006165,-117.190002441,35.0401992797852,-106.609001159668
"ABQ","SFO",37.6189994812012,-122.375,35.0401992797852,-106.609001159668
"ABQ","LAX",33.94250107,-118.4079971,35.0401992797852,-106.609001159668
"ABQ","HOU",29.64539909,-95.27890015,35.0401992797852,-106.609001159668
"ABQ","DFW",32.896800994873,-97.0380020141602,35.0401992797852,-106.609001159668
"ABQ","MDW",41.7859992980957,-87.7524032592773,35.0401992797852,-106.609001159668
"ABQ","PHX",33.4342994689941,-112.012001037598,35.0401992797852,-106.609001159668
"ABQ","LAX",33.94250107,-118.4079971,35.0401992797852,-106.609001159668
"ABQ","ORD",41.97859955,-87.90480042,35.0401992797852,-106.609001159668
"ABQ","ATL",33.6366996765137,-84.4281005859375,35.0401992797852,-106.609001159668
"ABQ","LAX",33.94250107,-118.4079971,35.0401992797852,-106.609001159668
"ABQ","DEN",39.861698150635,-104.672996521,35.0401992797852,-106.609001159668
"ABQ","LAX",33.94250107,-118.4079971,35.0401992797852,-106.609001159668
"ABQ","PHX",33.4342994689941,-112.012001037598,35.0401992797852,-106.609001159668
"ABQ","DEN",39.861698150635,-104.672996521,35.0401992797852,-106.609001159668
"ABQ","ORD",41.97859955,-87.90480042,35.0401992797852,-106.609001159668
"ABQ","OAK",37.7212982177734,-122.221000671387,35.0401992797852,-106.609001159668
"ABQ","DEN",39.861698150635,-104.672996521,35.0401992797852,-106.609001159668
"ABQ","ORD",41.97859955,-87.90480042,35.0401992797852,-106.609001159668
"ABQ","MCI",39.2976,-94.713898,35.0401992797852,-106.609001159668
"ABQ","LAS",36.08010101,-115.1520004,35.0401992797852,-106.609001159668
"ABQ","ATL",33.6366996765137,-84.4281005859375,35.0401992797852,-106.609001159668
"ABQ","LAX",33.94250107,-118.4079971,35.0401992797852,-106.609001159668
"ABR","MSP",44.8819999695,-93.2218017578,45.4491004943848,-98.4217987060547
"ABY","ATL",33.6366996765137,-84.4281005859375,31.5354995727539,-84.1945037841797
"ABY","ATL",33.6366996765137,-84.4281005859375,31.5354995727539,-84.1945037841797
"ABY","ATL",33.6366996765137,-84.4281005859375,31.5354995727539,-84.1945037841797
"ABY","ATL",33.6366996765137,-84.4281005859375,31.5354995727539,-84.1945037841797
"ACK","HPN",41.0670013427734,-73.7076034545898,41.25310135,-70.06020355
"ACK","HYA",41.66930008,-70.28040314,41.25310135,-70.06020355
"ACK","MVY",41.3931007385,-70.6143035889,41.25310135,-70.06020355
